id,name,calories,ingredients,cuisine,dietType,cookingTime,protein,fat,carbs,fiber,rating,instructions
1,"Quick Prawn Balchao #1",788,"Lentils, Honey, Onion, Beans, Olive Oil, Thyme, Basil","Indian","Veg",53,23,26,40,12,4.1,"1. Start by prepping the Lentils and Honey. 2. Heat a large pan with some oil and sauté the Onion. 3. Add the Beans and cook until tender. 4. Mix in the remaining ingredients and simmer for 26 minutes. 5. Garnish with fresh herbs and serve warm."
2,"Homemade Palak Paneer #2",895,"Lemon, Pork, Cheese, Coconut Milk, Soy Sauce, Thyme","Indian","Veg",19,14,14,63,10,3.8,"1. Start by prepping the Lemon and Pork. 2. Heat a large pan with some oil and sauté the Cheese. 3. Add the Coconut Milk and cook until tender. 4. Mix in the remaining ingredients and simmer for 9 minutes. 5. Garnish with fresh herbs and serve warm."
3,"Modern Twist Malai Kofta #3",390,"Pasta, Butter, Coconut Milk, Oregano, Garam Masala, Lemon, Spinach","Indian","Non-Veg",66,45,17,42,3,4.2,"1. Start by prepping the Pasta and Butter. 2. Heat a large pan with some oil and sauté the Coconut Milk. 3. Add the Oregano and cook until tender. 4. Mix in the remaining ingredients and simmer for 33 minutes. 5. Garnish with fresh herbs and serve warm."
4,"Classic Aloo Gobi #4",499,"Tomato, Lemon, Pasta, Coconut Milk","Indian","Non-Veg",51,23,23,73,13,3.5,"1. Start by prepping the Tomato and Lemon. 2. Heat a large pan with some oil and sauté the Pasta. 3. Add the Coconut Milk and cook until tender. 4. Mix in the remaining ingredients and simmer for 25 minutes. 5. Garnish with fresh herbs and serve warm."
5,"Homemade Lamb Vindaloo #5",166,"Coconut Milk, Mushroom, Oregano, Lamb","Indian","Veg",49,24,6,79,6,4.1,"1. Start by prepping the Coconut Milk and Mushroom. 2. Heat a large pan with some oil and sauté the Oregano. 3. Add the Lamb and cook until tender. 4. Mix in the remaining ingredients and simmer for 24 minutes. 5. Garnish with fresh herbs and serve warm."
6,"Classic Malai Kofta #6",600,"Butter, Onion, Garlic, Basil","Indian","Non-Veg",17,21,39,47,2,4.3,"1. Start by prepping the Butter and Onion. 2. Heat a large pan with some oil and sauté the Garlic. 3. Add the Basil and cook until tender. 4. Mix in the remaining ingredients and simmer for 8 minutes. 5. Garnish with fresh herbs and serve warm."
7,"Traditional Prawn Balchao #7",608,"Tomato, Olive Oil, Turmeric, Onion, Milk, Spinach","Indian","Non-Veg",30,36,14,62,9,4.3,"1. Start by prepping the Tomato and Olive Oil. 2. Heat a large pan with some oil and sauté the Turmeric. 3. Add the Onion and cook until tender. 4. Mix in the remaining ingredients and simmer for 15 minutes. 5. Garnish with fresh herbs and serve warm."
8,"Classic Malai Kofta #8",614,"Lemon, Olive Oil, Basil, Egg, Garlic, Lentils, Spinach, Rice","Indian","Non-Veg",39,49,9,55,4,3.9,"1. Start by prepping the Lemon and Olive Oil. 2. Heat a large pan with some oil and sauté the Basil. 3. Add the Egg and cook until tender. 4. Mix in the remaining ingredients and simmer for 19 minutes. 5. Garnish with fresh herbs and serve warm."
9,"Gourmet Paneer Butter Masala #9",524,"Potato, Olive Oil, Garam Masala, Spinach, Carrot, Ginger, Milk, Chili","Indian","Veg",46,21,15,41,2,3.7,"1. Start by prepping the Potato and Olive Oil. 2. Heat a large pan with some oil and sauté the Garam Masala. 3. Add the Spinach and cook until tender. 4. Mix in the remaining ingredients and simmer for 23 minutes. 5. Garnish with fresh herbs and serve warm."
10,"Traditional Chana Masala #10",223,"Pasta, Flour, Bell Pepper, Garlic, Chili","Indian","Non-Veg",68,22,16,36,10,4.7,"1. Start by prepping the Pasta and Flour. 2. Heat a large pan with some oil and sauté the Bell Pepper. 3. Add the Garlic and cook until tender. 4. Mix in the remaining ingredients and simmer for 34 minutes. 5. Garnish with fresh herbs and serve warm."
